PlayerId;LastName;FirstName;Gender;Height;Weight;ShirtNumber;Email;Country;Team;Abbr;Position
1;Barkley;Ross;M;196;112;18;lshj2824@163.com;Australia;Miami Heat;MIA;"SmallForward;Center"
2;Dembl;Moussa;M;172;99;47;jianp_yao@live.cn;Argentina;Orlando Magic;ORL;PowerForward
3;Alaba;David;M;193;122;17;lili20266@163.com;Austria;Atlanta Hawks;ATL;Center
4;Hummels;Mats;M;173;145;34;tjsdianxiandianlan@163.com;Australia;Washington Wizards;WSH;ShootingGuard
5;Soares;Cdric;M;176;162;79;fkunlee@hotmail.com;Bosnia;Charlotte Hornets;CHA;PointGuard
6;Cotterill;David;M;192;94;35;Support@eworldship.com;Bosnia Herzegovina;Detroit Pistons;DET;SmallForward
7;Schpf;Alessandro;M;196;133;50;1121657066@qq.com;Brazil;Indiana Pacers;IND;PowerForward
8;Babacan;Volkan;M;174;72;86;222Leifeng@163.com;Bahamas;Cleveland Cavaliers;CLE;Center
9;Rog;Marko;M;177;74;73;chinawutong@126.com;Canada;Chicago Bulls;CHI;ShootingGuard
10;Lou;Peter;M;187;91;46;bjwlslyxgs@3158.com;Congo;Milwaukee Bucks;MIL;PointGuard
11;Neil;Ralap;M;196;125;72;inf996@163.com;Switzerland;Boston Celtics;BOS;SmallForward
12;Sampson;Boyd;M;174;168;6;bjyslkjsyxgs@3158.com;Cameroon;Philadelphia 76ers;PHI;PowerForward
13;Willie;Corey;M;178;79;32;wangxin@will-tech.com.cn;Democratic Republic of Congo;New York Knicks;NY;Center
14;Jay;Gavin;M;193;138;20;fiona_yangyi@yahoo.com.cn;Germany;Brooklyn Nets;BKN;"ShootingGuard;PowerForward"
15;Coleman;Samus;M;190;152;30;fecljp@126.com;The Dominican Republic;Toronto Raptors;TOR;SmallForward
16;Sigursson;Gylfi;M;190;152;69;cash163@gmail.com;Spain;San Antonio Spurs;SA;SmallForward
17;Schweinsteiger;Bastian;M;193;155;29;dlsjw@yahoo.com.cn;France;Memphis Grizzlies;MEM;SmallForward
18;Baszczykowski;Jakub;M;187;100;73;81246866@163.com;Georgia;Dallas Mavericks;DAL;SmallForward
19;Moutinho;Joo;M;193;159;77;bnsd820@126.com;Greece;Houston Rockets;HOU;SmallForward
20;Stoch;Miroslav;M;178;118;30;yzm54188@yahoo.com.cn;Croatia;New Orleans Pelicans;NO;SmallForward
20;Stoch;Miroslav;M;178;118;30;yzm54188@yahoo.com.cn;Croatia;New Orleans Pelicans;NO;SmallForward
21;Quaresma;Ricardo;M;188;145;40;webmaster@@baidajob.com;Haiti;Denver Nuggets;DEN;SmallForward
22;Tufan;Ozan;M;179;70;85;bdchina@bigdutchman.com;Israel;Utah Jazz;UTA;SmallForward
23;Memushaj;Ledian;M;173;127;59;zhaoshang@net114.com;Italy;Portland Trail Blazers;POR;SmallForward
24;Louis;Phil;M;198;79;60;872779240@qq.com;Lithuania;Oklahoma City Thunder;OKC;PowerForward
25;Nelson;Randolph;M;187;169;17;6723809d@qq.com;Latvia;Sacramento Kings;SAC;Center
26;Samuel;Bradley;M;191;77;5;yadasteel@163.com;Mali;Phoenix Suns;PHX;SmallForward
27;Winfred;Cornelius;M;189;89;51;wch@public.tpt.tj.cn;Montenegro;L.A. Lakers;LAL;PowerForward
